idx,precision,recall
1,0.6525252525252525,0.2752946127946154
2,0.7329545454545454,0.5928030303030318
3,0.745286195286182,0.7450757575757404
4,0.7271464646464646,0.807196969696946
5,0.7049494949494981,0.8407407407407175
6,0.6983164983164948,0.8748737373737181
7,0.7006854256854264,0.9113215488215336
8,0.7051767676767676,0.9412878787878681
9,0.7074354657687992,0.9658670033669966
10,0.7053030303030235,0.9829124579124543
11,0.7028466483011896,0.9935606060606048
12,0.6997895622895611,0.9976010101010099
13,0.696678321678314,0.9996632996632996
14,0.6942460317460352,0.999915824915825
15,0.6915319865319692,1.0
