idx,precision,recall
1,0.7495,0.3457499999999955
2,0.704625,0.6405833333333291
3,0.6604999999999928,0.7620833333333075
4,0.6356875,0.8001666666666376
5,0.6237999999999997,0.8184166666666389
6,0.6240833333333299,0.8386249999999758
7,0.6343928571428559,0.8723749999999805
8,0.64475,0.9232083333333206
9,0.6504444444444496,0.9728749999999945
10,0.6575749999999929,0.9919583333333313
11,0.6631363636363572,0.997666666666666
12,0.6682916666666677,0.9994166666666665
13,0.6720576923076879,1.0
14,0.6716428571428679,1.0
15,0.6686999999999756,1.0
