idx,precision,recall
1,0.7676020408163265,0.3470663265306027
2,0.7627551020408163,0.5339285714285674
3,0.7406462585033976,0.6515731292517035
4,0.7016581632653062,0.7463010204081475
5,0.6777551020408108,0.8098214285714059
6,0.6773809523809484,0.8639455782312733
7,0.6848396501457709,0.9254676870748184
8,0.6902423469387755,0.9646683673469332
9,0.6940476190476214,0.987542517006801
10,0.695025510204079,0.9967687074829928
11,0.6940630797773635,0.9991921768707483
12,0.6894557823129277,0.9999149659863946
13,0.6824568288853939,1.0
14,0.6750546647230353,1.0
15,0.6677210884353562,1.0
